Fit #1
gc8 Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),4.60,0.06
kexAB (s^-1),62,2
R1 (s^-1),2.57,0.07
R2 (s^-1),20.12,0.07
Red. Chi-sq,0.41
