Fit #1
G10_C1p_Off Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),3.15,0.01
kexAB (s^-1),10,4
R1 (s^-1),1.55,0.08
R2 (s^-1),15.12,0.09
Red. Chi-sq,0.30
