o1p,pldb12,o3p,pulprog,sp5,cnst11,p25,p21,o2p,nbl,d31,cnst12,FN,pldb16,p3,pl24,p1,pl23,cnst28i,pcpd1,pcpd2,pcpd3,vdlist,ns,d30,ds,bf3,bf2,bf1,rg,cnst28,te,cnst30
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,150,1400,inf,9.75,3.2,13.09,25.36,0,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1477,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,200,1401,inf,9.75,3.2,13.09,22.85,0,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1494,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,250,1402,inf,9.75,3.2,13.09,20.89,0,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1448,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,300,1403,inf,9.75,3.2,13.09,19.3,0,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1515,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,400,1404,inf,9.75,3.2,13.09,16.78,0,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1438,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,500,1405,inf,9.75,3.2,13.09,14.83,0,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,0,303.151,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,600,1406,inf,9.75,3.2,13.09,13.23,0,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1486,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,700,1407,inf,9.75,3.2,13.09,11.88,0,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,0,303.148,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,900,1408,inf,9.75,3.2,13.09,9.68,0,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1521,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,1000,1409,inf,9.75,3.2,13.09,8.76,0,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1497,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,1200,1410,inf,9.75,3.2,13.09,7.16,0,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1524,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,1400,1411,inf,9.75,3.2,13.09,5.81,0,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1462,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,1600,1412,inf,9.75,3.2,13.09,4.64,0,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1502,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,2000,1413,inf,9.75,3.2,13.09,2.69,0,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1501,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,2500,1414,inf,9.75,3.2,13.09,0.74,0,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1525,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,3000,1415,inf,9.75,3.2,13.09,-0.86,0,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,0,303.1504,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,150,1416,inf,9.75,3.2,13.09,25.36,-100,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,100,303.1537,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,150,1417,inf,9.75,3.2,13.09,25.36,-200,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,200,303.1508,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,150,1418,inf,9.75,3.2,13.09,25.36,-250,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,250,303.1512,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,150,1419,inf,9.75,3.2,13.09,25.36,-300,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,300,303.1488,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,150,1420,inf,9.75,3.2,13.09,25.36,-350,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,350,303.1523,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,150,1421,inf,9.75,3.2,13.09,25.36,-400,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,400,303.1476,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,150,1422,inf,9.75,3.2,13.09,25.36,-420,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,420,303.1513,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,150,1423,inf,9.75,3.2,13.09,25.36,-440,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,440,303.148,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,150,1424,inf,9.75,3.2,13.09,25.36,-460,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,460,303.1481,5.8216
4.697,-0.82,170.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,81.4995,6,0.03,150,1425,inf,9.75,3.2,13.09,25.36,-480,50,105,220,13C_G_C1p_dl,16,0.062,2,60.76302,150.784627,599.66,188.81,480,303.1541,5.8216
