Fit #1
G_C1p_Off_clean Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),4.12,4.12
kexAB (s^-1),65,7
R1 (s^-1),2.24,0.05
R2 (s^-1),11.91,0.06
Red. Chi-sq,0.28
