Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),4.35,0.26
kexAB (s^-1),2534,448
R1 (s^-1),2.24,0.21
R2 (s^-1),21.62,0.45
Red. Chi-sq,1.61
