Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),0.51,0.06
kexAB (s^-1),3820,778
R1 (s^-1),2.27,0.04
R2 (s^-1),13.98,0.12
Red. Chi-sq,0.40
