Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),0.48,0.07
kexAB (s^-1),3820,778
R1 (s^-1),2.56,0.04
R2 (s^-1),20.20,0.13
Red. Chi-sq,0.40
