Fit #1
gc1p Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),4.91,0.16
kexAB (s^-1),62,2
R1 (s^-1),2.15,0.08
R2 (s^-1),14.15,0.11
Red. Chi-sq,0.41
