Fit #1
gc8 Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),2.76,0.05
kexAB (s^-1),65,3
R1 (s^-1),1.29,0.13
R2 (s^-1),27.63,0.18
Red. Chi-sq,0.89
