Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.800,0.800
dwB (ppm),1.88,0.08
kexAB (s^-1),4543,326
R1 (s^-1),1.89,0.06
R2 (s^-1),22.57,0.23
Red. Chi-sq,0.15
