Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),2.00,0.13
kexAB (s^-1),185,26
R1 (s^-1),2.25,0.07
R2 (s^-1),13.93,0.08
Red. Chi-sq,0.33
