Fit #1
gc8 Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),3.70,0.02
kexAB (s^-1),124,2
R1 (s^-1),2.75,0.04
R2 (s^-1),20.32,0.08
Red. Chi-sq,0.43
