Fit #1
G10_C8_Off Pars,Fit Value,Error
pB (%),0.450,0.450
dwB (ppm),5.94,1.36
kexAB (s^-1),4159,3702
R1 (s^-1),2.46,1.76
R2 (s^-1),46.98,5.70
Red. Chi-sq,10.57
