Fit #1
gc8 Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),2.50,0.02
kexAB (s^-1),49,2
R1 (s^-1),0.97,0.17
R2 (s^-1),31.31,0.17
Red. Chi-sq,0.40
