Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.450,0.450
dwB (ppm),2.88,0.08
kexAB (s^-1),1528,120
R1 (s^-1),2.66,0.07
R2 (s^-1),28.85,0.19
Red. Chi-sq,0.24
