Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.010,0.010
dwB (ppm),7.36,53.45
kexAB (s^-1),4465,96599
R1 (s^-1),5.51,1.21
R2 (s^-1),32.29,3.35
Red. Chi-sq,9.26
