Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.010,0.010
dwB (ppm),7.11,65.34
kexAB (s^-1),4465,96599
R1 (s^-1),4.34,1.38
R2 (s^-1),37.78,3.68
Red. Chi-sq,9.26
