param,fitval,fiterror
pB,0.00100,0.00000
pC,0.00000,0.00000
dwB,-1.64754,0.40895
dwC,0.00000,0.00000
kexAB,329.00636,201.82171
kexAC,-0.00000,0.00000
kexBC,-0.00000,0.00000
R1,1.25220,0.01208
R2,5.80778,0.45013
rchi2,58.81346,0.0
