Fit #1
gc8 Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),2.14,0.06
kexAB (s^-1),3368,174
R1 (s^-1),1.70,0.14
R2 (s^-1),27.49,0.34
Red. Chi-sq,0.31
