Date : 12/19/2017	Time : 05:45:03	
C:\UVWINLAB\DNA01U1.SP	
15.00	0.6565
15.50	0.6572
16.00	0.6573
16.50	0.6576
17.00	0.6578
17.50	0.6583
18.00	0.6590
18.50	0.6590
19.00	0.6599
19.50	0.6602
20.00	0.6608
20.50	0.6614
21.00	0.6614
21.50	0.6624
22.00	0.6632
22.50	0.6638
23.00	0.6642
23.50	0.6650
24.00	0.6657
24.50	0.6665
25.00	0.6670
25.50	0.6678
26.00	0.6683
26.50	0.6696
27.00	0.6699
27.50	0.6707
28.00	0.6713
28.50	0.6726
29.00	0.6733
29.50	0.6742
30.00	0.6751
30.50	0.6754
31.00	0.6773
31.50	0.6780
32.00	0.6787
32.50	0.6801
33.00	0.6814
33.50	0.6826
34.00	0.6836
34.50	0.6853
35.00	0.6867
35.50	0.6882
36.00	0.6893
36.50	0.6909
37.00	0.6923
37.50	0.6939
38.00	0.6959
38.50	0.6973
39.00	0.6990
39.50	0.7010
40.00	0.7034
40.50	0.7049
41.00	0.7074
41.50	0.7096
42.00	0.7117
42.50	0.7143
43.00	0.7179
43.50	0.7206
44.00	0.7244
44.50	0.7269
45.00	0.7306
45.50	0.7335
46.00	0.7375
46.50	0.7413
47.00	0.7454
47.50	0.7486
48.00	0.7521
48.50	0.7562
49.00	0.7595
49.50	0.7621
50.00	0.7658
50.50	0.7685
51.00	0.7715
51.50	0.7740
52.00	0.7764
52.50	0.7783
53.00	0.7803
53.50	0.7825
54.00	0.7837
54.50	0.7853
55.00	0.7865
55.50	0.7879
56.00	0.7888
56.50	0.7900
57.00	0.7913
57.50	0.7914
58.00	0.7922
58.50	0.7930
59.00	0.7937
59.50	0.7946
60.00	0.7954
60.50	0.7961
61.00	0.7969
61.50	0.7972
62.00	0.7976
62.50	0.7982
63.00	0.7986
63.50	0.7991
64.00	0.7997
64.50	0.8004
65.00	0.8000
65.50	0.8012
66.00	0.8012
66.50	0.8016
67.00	0.8026
67.50	0.8025
68.00	0.8035
68.50	0.8036
69.00	0.8040
69.50	0.8043
70.00	0.8050
70.50	0.8053
71.00	0.8052
71.50	0.8060
72.00	0.8058
72.50	0.8064
73.00	0.8070
73.50	0.8071
74.00	0.8078
74.50	0.8084
75.00	0.8082
