Fit #1
ac8 Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),1.41,0.08
kexAB (s^-1),4312,350
R1 (s^-1),3.84,0.99
R2 (s^-1),22.16,2.54
Red. Chi-sq,5.92
