Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.800,0.800
dwB (ppm),3.91,0.02
kexAB (s^-1),611,7
R1 (s^-1),2.21,0.03
R2 (s^-1),13.43,0.06
Red. Chi-sq,0.17
