Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.070,0.070
dwB (ppm),3.12,0.25
kexAB (s^-1),2183,312
R1 (s^-1),2.50,0.03
R2 (s^-1),20.21,0.08
Red. Chi-sq,0.22
