Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),3.92,0.55
kexAB (s^-1),2575,980
R1 (s^-1),2.16,0.16
R2 (s^-1),28.21,0.38
Red. Chi-sq,1.20
