Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),4.52,0.62
kexAB (s^-1),2575,980
R1 (s^-1),1.81,0.17
R2 (s^-1),18.83,0.40
Red. Chi-sq,1.20
