Fit #1
ac1p Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),1.65,0.07
kexAB (s^-1),4038,302
R1 (s^-1),5.16,0.73
R2 (s^-1),13.01,1.98
Red. Chi-sq,5.20
