Fit #1
ac8 Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),1.54,0.08
kexAB (s^-1),4038,302
R1 (s^-1),3.69,0.93
R2 (s^-1),22.77,2.26
Red. Chi-sq,5.20
