Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.502,0.013
dwB (ppm),2.71,0.06
kexAB (s^-1),2819,115
R1 (s^-1),1.47,0.08
R2 (s^-1),27.93,0.16
Red. Chi-sq,0.12
