Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.502,0.013
dwB (ppm),3.35,0.07
kexAB (s^-1),2819,115
R1 (s^-1),1.38,0.07
R2 (s^-1),18.15,0.16
Red. Chi-sq,0.12
