Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),0.450,0.450
dwB (ppm),1.79,0.06
kexAB (s^-1),1183,174
R1 (s^-1),2.30,0.06
R2 (s^-1),13.46,0.12
Red. Chi-sq,0.28
