Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),2.12,0.08
kexAB (s^-1),4080,286
R1 (s^-1),3.09,0.07
R2 (s^-1),22.98,0.27
Red. Chi-sq,0.32
