Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),0.30,0.04
kexAB (s^-1),3906,843
R1 (s^-1),2.56,0.04
R2 (s^-1),20.21,0.14
Red. Chi-sq,0.41
