Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),0.32,0.04
kexAB (s^-1),3906,843
R1 (s^-1),2.27,0.04
R2 (s^-1),14.00,0.12
Red. Chi-sq,0.41
