Fit #1
ra16_c8_15c Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),1.04,0.08
kexAB (s^-1),5104,609
R1 (s^-1),1.89,0.05
R2 (s^-1),33.69,0.23
Red. Chi-sq,0.75
