Fit #1
gc1p Pars,Fit Value,Error
pB (%),1.300,1.300
dwB (ppm),2.12,0.10
kexAB (s^-1),3690,342
R1 (s^-1),3.38,0.12
R2 (s^-1),10.59,0.55
Red. Chi-sq,4.54
