Fit #1
gc8 Pars,Fit Value,Error
pB (%),1.300,1.300
dwB (ppm),2.02,0.11
kexAB (s^-1),3690,342
R1 (s^-1),3.97,0.11
R2 (s^-1),17.13,0.56
Red. Chi-sq,4.54
