Fit #1
hpGBCm6A_m6A_C2_65C Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),2.51,0.06
kexAB (s^-1),126,4
R1 (s^-1),4.61,0.18
R2 (s^-1),13.90,0.21
Red. Chi-sq,9.03
