Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),1.36,0.08
kexAB (s^-1),3487,394
R1 (s^-1),2.80,0.11
R2 (s^-1),25.54,0.42
Red. Chi-sq,0.90
