Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),3.37,0.17
kexAB (s^-1),1776,232
R1 (s^-1),2.83,0.09
R2 (s^-1),29.29,0.27
Red. Chi-sq,0.44
