SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2/hashimi/at_20210521_scaf2AAG_m1A_10C/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

237 points for Peak 1

Converged after 274 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   -3.034e-002    1.032e+000  
T     =      11.640s      154.638s  

RSS   =   1.262e-003
SD    =   2.307e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    9.975e-001   -2.520e-003
    2       2.000s    9.949e-001    9.932e-001   -1.688e-003
    3       3.000s    9.896e-001    9.887e-001   -9.129e-004
    4       4.000s    9.844e-001    9.841e-001   -2.893e-004
    5       5.000s    9.792e-001    9.794e-001    2.202e-004
    6       6.000s    9.740e-001    9.746e-001    6.279e-004
    7       7.000s    9.687e-001    9.697e-001    9.236e-004
    8       8.000s    9.636e-001    9.647e-001    1.123e-003
    9       9.000s    9.583e-001    9.596e-001    1.293e-003
   10      10.000s    9.531e-001    9.545e-001    1.390e-003
   11      11.000s    9.479e-001    9.493e-001    1.406e-003
   12      12.000s    9.426e-001    9.441e-001    1.457e-003
   13      13.000s    9.374e-001    9.388e-001    1.464e-003
   14      14.000s    9.322e-001    9.335e-001    1.353e-003
   15      15.000s    9.270e-001    9.282e-001    1.212e-003
   16      16.000s    9.217e-001    9.229e-001    1.138e-003
   17      17.000s    9.164e-001    9.175e-001    1.094e-003
   18      18.000s    9.111e-001    9.121e-001    9.833e-004
   19      19.000s    9.059e-001    9.067e-001    8.624e-004
   20      20.000s    9.006e-001    9.013e-001    7.339e-004
   21      21.000s    8.954e-001    8.959e-001    5.733e-004
   22      22.000s    8.901e-001    8.905e-001    4.385e-004
   23      23.000s    8.849e-001    8.851e-001    2.668e-004
   24      24.000s    8.797e-001    8.798e-001    9.940e-005
   25      25.000s    8.745e-001    8.744e-001   -8.604e-005
   26      26.000s    8.693e-001    8.690e-001   -3.132e-004
   27      27.000s    8.641e-001    8.637e-001   -4.867e-004
   28      28.000s    8.589e-001    8.583e-001   -6.014e-004
   29      29.000s    8.537e-001    8.530e-001   -6.936e-004
   30      30.000s    8.485e-001    8.477e-001   -8.302e-004
   31      31.000s    8.433e-001    8.424e-001   -9.459e-004
   32      32.000s    8.383e-001    8.371e-001   -1.126e-003
   33      33.000s    8.332e-001    8.319e-001   -1.309e-003
   34      34.000s    8.280e-001    8.267e-001   -1.397e-003
   35      35.000s    8.229e-001    8.214e-001   -1.485e-003
   36      36.000s    8.179e-001    8.163e-001   -1.669e-003
   37      37.000s    8.129e-001    8.111e-001   -1.806e-003
   38      38.000s    8.079e-001    8.060e-001   -1.882e-003
   39      39.000s    8.028e-001    8.009e-001   -1.912e-003
   40      40.000s    7.977e-001    7.958e-001   -1.933e-003
   41      41.000s    7.927e-001    7.907e-001   -1.992e-003
   42      42.000s    7.877e-001    7.857e-001   -2.025e-003
   43      43.000s    7.827e-001    7.807e-001   -2.026e-003
   44      44.000s    7.779e-001    7.757e-001   -2.144e-003
   45      45.000s    7.730e-001    7.708e-001   -2.199e-003
   46      46.000s    7.681e-001    7.659e-001   -2.275e-003
   47      47.000s    7.633e-001    7.610e-001   -2.304e-003
   48      48.000s    7.584e-001    7.561e-001   -2.310e-003
   49      49.000s    7.536e-001    7.513e-001   -2.307e-003
   50      50.000s    7.488e-001    7.465e-001   -2.346e-003
   51      51.000s    7.440e-001    7.417e-001   -2.303e-003
   52      52.000s    7.392e-001    7.369e-001   -2.259e-003
   53      53.000s    7.344e-001    7.322e-001   -2.224e-003
   54      54.000s    7.297e-001    7.275e-001   -2.148e-003
   55      55.000s    7.249e-001    7.228e-001   -2.088e-003
