Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.800,0.800
dwB (ppm),2.43,0.09
kexAB (s^-1),777,29
R1 (s^-1),1.06,0.16
R2 (s^-1),29.68,0.17
Red. Chi-sq,0.46
