Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.800,0.800
dwB (ppm),4.00,0.10
kexAB (s^-1),777,29
R1 (s^-1),0.64,0.13
R2 (s^-1),19.88,0.19
Red. Chi-sq,0.46
