Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),1.500,1.500
dwB (ppm),0.53,0.03
kexAB (s^-1),1268,342
R1 (s^-1),4.73,0.06
R2 (s^-1),20.88,0.09
Red. Chi-sq,1.52
