Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),3.74,0.37
kexAB (s^-1),2019,497
R1 (s^-1),3.02,0.12
R2 (s^-1),29.81,0.38
Red. Chi-sq,0.82
