Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),0.39,0.06
kexAB (s^-1),3863,809
R1 (s^-1),2.56,0.04
R2 (s^-1),20.20,0.13
Red. Chi-sq,0.41
