Fit #1
hpGBCm6A_m6AC2_55C Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),3.11,0.16
kexAB (s^-1),1442,162
R1 (s^-1),4.86,0.14
R2 (s^-1),13.41,0.26
Red. Chi-sq,8.09
