Fit #1
ac1p Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),0.89,0.06
kexAB (s^-1),5882,560
R1 (s^-1),2.25,0.18
R2 (s^-1),15.89,0.81
Red. Chi-sq,0.96
