Fit #1
ac8 Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),0.82,0.06
kexAB (s^-1),5882,560
R1 (s^-1),2.07,0.20
R2 (s^-1),25.58,0.81
Red. Chi-sq,0.96
