Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.700,0.700
dwB (ppm),2.46,0.05
kexAB (s^-1),3754,165
R1 (s^-1),2.03,0.06
R2 (s^-1),19.71,0.16
Red. Chi-sq,0.18
