o1p,pldb12,o3p,pulprog,sp5,cnst11,p25,p21,o2p,nbl,d31,cnst12,FN,pldb16,p3,pl24,p1,pl23,cnst28i,pcpd1,pcpd2,pcpd3,vdlist,ns,d30,ds,bf3,bf2,bf1,rg,cnst28,te,cnst30
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,50,1400,-3.9,9.75,3.2,13.09,34.98,0,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,0,303.1504,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,100,1401,-3.9,9.75,3.2,13.09,28.91,0,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,0,303.1516,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,150,1402,-3.9,9.75,3.2,13.09,25.36,0,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,0,303.1511,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,200,1403,-3.9,9.75,3.2,13.09,22.85,0,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,0,303.148,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,250,1404,-3.9,9.75,3.2,13.09,20.89,0,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,0,303.151,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,300,1405,-3.9,9.75,3.2,13.09,19.3,0,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,0,303.151,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,400,1406,-3.9,9.75,3.2,13.09,16.78,0,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,0,303.1465,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,500,1407,-3.9,9.75,3.2,13.09,14.83,0,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,0,303.1497,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,600,1408,-3.9,9.75,3.2,13.09,13.23,0,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,0,303.1467,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,700,1409,-3.9,9.75,3.2,13.09,11.88,0,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,0,303.1511,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,900,1410,-3.9,9.75,3.2,13.09,9.68,0,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,0,303.1491,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,1000,1411,-3.9,9.75,3.2,13.09,8.76,0,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,0,303.1498,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,1200,1412,-3.9,9.75,3.2,13.09,7.16,0,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,0,303.1493,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,1400,1413,-3.9,9.75,3.2,13.09,5.81,0,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,0,303.1522,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,1600,1414,-3.9,9.75,3.2,13.09,4.64,0,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,0,303.1511,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,2000,1415,-3.9,9.75,3.2,13.09,2.69,0,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,0,303.1503,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,2500,1416,-3.9,9.75,3.2,13.09,0.74,0,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,0,303.1512,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,3000,1417,-3.9,9.75,3.2,13.09,-0.86,0,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,0,303.1508,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,100,1418,-3.9,9.75,3.2,13.09,28.91,-100,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,100,303.1518,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,100,1419,-3.9,9.75,3.2,13.09,28.91,-200,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,200,303.1481,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,100,1420,-3.9,9.75,3.2,13.09,28.91,-300,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,300,303.1468,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,100,1421,-3.9,9.75,3.2,13.09,28.91,-350,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,350,303.1503,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,100,1422,-3.9,9.75,3.2,13.09,28.91,-400,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,400,303.1543,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,100,1423,-3.9,9.75,3.2,13.09,28.91,-450,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,450,303.1522,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,100,1424,-3.9,9.75,3.2,13.09,28.91,-500,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,500,303.1512,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,100,1425,-3.9,9.75,3.2,13.09,28.91,-520,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,520,303.1491,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,100,1426,-3.9,9.75,3.2,13.09,28.91,-540,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,540,303.1487,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,100,1427,-3.9,9.75,3.2,13.09,28.91,-560,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,560,303.1514,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,100,1428,-3.9,9.75,3.2,13.09,28.91,-580,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,580,303.1519,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,100,1429,-3.9,9.75,3.2,13.09,28.91,-600,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,600,303.1493,7.8288
4.697,-0.82,202.0,13Csel-R1rho_HC-4.alh.qz.ijk,30.26,9000,1500,31.18,135.4306,6,0.025,100,1430,-3.9,9.75,3.2,13.09,28.91,-620,50,105,220,13C_G_C8_dl,16,0.052,2,60.76302,150.784627,599.66,188.81,620,303.15,7.8288
