Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),3.05,0.05
kexAB (s^-1),710,17
R1 (s^-1),1.34,0.05
R2 (s^-1),27.57,0.08
Red. Chi-sq,0.15
