Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),2.29,0.00
kexAB (s^-1),10,1
R1 (s^-1),4.53,0.05
R2 (s^-1),21.04,0.05
Red. Chi-sq,1.05
