Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),4.31,0.15
kexAB (s^-1),146,10
R1 (s^-1),0.10,0.34
R2 (s^-1),31.48,0.46
Red. Chi-sq,1.07
