Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),2.300,2.300
dwB (ppm),0.48,0.06
kexAB (s^-1),3836,789
R1 (s^-1),2.27,0.04
R2 (s^-1),13.99,0.12
Red. Chi-sq,0.40
