Fit #1
ra16_c8_15c Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),0.66,0.05
kexAB (s^-1),5084,662
R1 (s^-1),1.90,0.05
R2 (s^-1),33.75,0.24
Red. Chi-sq,0.85
