Fit #1
ra16_c8_15c Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),4.34,0.25
kexAB (s^-1),483,48
R1 (s^-1),1.59,0.07
R2 (s^-1),35.08,0.12
Red. Chi-sq,1.57
