Fit #1
ac1p Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),2.96,0.02
kexAB (s^-1),1734,37
R1 (s^-1),0.57,0.20
R2 (s^-1),20.49,0.31
Red. Chi-sq,0.30
