Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),3.02,0.12
kexAB (s^-1),98,6
R1 (s^-1),2.01,0.10
R2 (s^-1),27.93,0.13
Red. Chi-sq,0.61
