Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),2.44,0.09
kexAB (s^-1),3073,230
R1 (s^-1),2.04,0.05
R2 (s^-1),14.32,0.20
Red. Chi-sq,0.16
