Fit #1
G10_C1p_Off Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),1.23,0.33
kexAB (s^-1),4832,1898
R1 (s^-1),1.71,0.07
R2 (s^-1),14.62,0.35
Red. Chi-sq,0.35
