Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.010,0.010
dwB (ppm),6.09,6.02
kexAB (s^-1),3588,10523
R1 (s^-1),2.58,0.14
R2 (s^-1),24.72,0.37
Red. Chi-sq,0.79
