Fit #1
G_C8_Off_clean Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),4.27,4.27
kexAB (s^-1),21757,1026
R1 (s^-1),2.72,0.04
R2 (s^-1),13.59,0.15
Red. Chi-sq,0.28
