Fit #1
gc8 Pars,Fit Value,Error
pB (%),2.500,2.500
dwB (ppm),2.92,0.06
kexAB (s^-1),245,7
R1 (s^-1),1.57,0.12
R2 (s^-1),22.58,0.15
Red. Chi-sq,0.66
