Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.450,0.450
dwB (ppm),2.01,0.06
kexAB (s^-1),2342,188
R1 (s^-1),2.46,0.06
R2 (s^-1),23.19,0.13
Red. Chi-sq,0.21
